Coalfish (Saithe),"03.01, 03.02, 03.03, 03.05, 16.04"
Fish - Live,0301
Salmon - Live,0301
Crawfish,"0301, 0306, 1605"
"Crayfish, freshwater","0301, 0306, 1605"
Fish - Fresh or chilled,0302
Salmon - Fresh/chilled,0302
Fish - Livers,"0302, 0303"
Fish - Roes,"0302, 0303, 1604"
Fish - Frozen,0303
Salmon - Frozen,0303
Fish - Fillets,0304
"Fish - Salted, dried or smoked",0305
"Fish - Wet, salted, split",0305
"Salmon - Dried, salted or in brine, smoked",0305
Fish - Shell,"0306, 0307, 1605"
Shellfish,"0306, 0307, 1605"
Crabs,"0306, 1605"
Crustaceans,"0306, 1605"
Lobsters,"0306, 1605"
Norway lobsters (Dublin Bay prawns),"0306, 1605"
Prawns,"0306, 1605"
Shrimps,"0306, 1605"
Cuttle-fish,0307
Mussels,0307
Octopus,0307
Scallops,0307
"Snails, other than sea snails",0307
Clams,"0307, 1605"
Cockles,"0307, 1605"
Molluscs,"0307, 1605"
Oysters,"0307, 1605"
Squid,"0307, 1605"
Whelks,"0307, 1605"
Winkles,"0307, 1605"
"Cream, fresh (including UHT and frozen)",0401
"Milk, fresh - Natural",0401
"Milk, other than fresh","0401, 1402, 1403, 0404"
Buttermilk - Preserved,0402
"Cream, canned",0402
Buttermilk - Fresh,0403
Kephir,0403
Yoghurt - Drinking,0403
"Yoghurt - Natural, including frozen",0403
"Yoghurt - With added flavouring or fruit, including frozen",0403
Whey - Powder,0404
Whey - Preserved; partly or wholly concentrated,0404
"Whey - Whole, liquid",0404
"Butter, butter fat and oil",0405
Dairy spreads,0405
"Ghee, natural",0405
Cheese,0406
Curd,0406
Hatching eggs,0407
Eggs and yolks,"0407, 0408"
"Yolk, egg",0408
"Honey, natural",0409
Birds' nests (edible),0410
Turtles' eggs (edible),0410
"Hair, other - Human, unworked",0501
"Bristles, animal",0502
Brush making hair,0502
"Hair, animal - Badger, hog and pig",0502
"Hair, animal - Bovine and horse",0503
Horsehair,0503
"Bladders, animal",0504
"Casings, sausage (natural)",0504
"Guts, animal",0504
"Stomachs, animal",0504
Organs (animal),"0504, 0510, 0511, 3001"
Down,0505
"Feathers, undressed",0505
"Quills, raw",0505
Skins - Bird,"0505, 6701"
"Bones and bone pieces, meal and powder",0506
Horn-cores,0506
Meal - Bone,0506
Ossein,0506
Antlers,0507
Claws,0507
Hooves,0507
"Horns, animal",0507
"Ivory, unworked",0507
"Nails, animal",0507
"Tortoise-shell, unworked",0507
Whalebone,0507
"Coral, unworked",0508
"Mother-of-pearl, unworked",0508
"Shells, sea",0508
Sponges - Natural,0509
Ambergis,0510
Bile,0510
Cantharides,0510
Castoreum,0510
Civet,0510
"Glands, animal (unfit for human consumption)",0510
Musk,0510
"Offal, for the manufacture of pharmaceutical products","0510, 3001"
"Animals, dead (unfit for human consumption)",0511
"Bladders, fish",0511
"Blood, animal",0511
Cochineal,0511
"Eggs, fish, for hatching",0511
"Embryos, animal",0511
Fish - Bladders and waste,0511
"Fish - Inedible dead fish, livers and roes",0511
Hide waste,0511
"Ova, fish for hatching",0511
Semen,0511
Sinews,0511
Skins - Waste,0511
Tendons,0511
Amaryllis,0601
Anemone,0601
"Bulbs, flower",0601
"Chicory root, unroasted",0601
Corms,0601
Flower bulbs,0601
Fruit kernels,0601
Rhizomes,0601
"Roots, tuberous",0601
Tubers and tuberous roots,0601
"Buds, for grafting and budding",0602
Bushes,0602
Cuttings,0602
Eyes for grafting and budding,0602
Fruit stocks and trees,0602
Mushroom spawn,0602
"Roots, plant (other than tuberous)",0602
"Rose stocks, trees, shrubs, bushes and plants",0602
Shrubs,0602
"Slips, plant",0602
Standard trees,0602
Stems for grafting and budding,0602
"Stocks, fruit",0602
"Stocks, rose",0602
Trees,0602
"Buds, flower",0603
Cut flowers,0603
Flower buds,0603
"Flowers, cut",0603
Bouquets - other,"0603, 0604"
Branches,"0603, 0604"
"Foliage, natural and ornamental (not bearing flowers or flower buds)",0604
Grasses for ornamental purposes,0604
Lichens for ornamental purposes,0604
Mosses for ornamental purposes,0604
Salad vegetables and roots,07
"Vegetables, edible - Dried",07
"Vegetables, edible - Fresh",07
Sweet corn,"07, 20"
"Vegetables, edible - Frozen","07, 20"
Cauliflowers,0704
"Chicory salad, fresh or chilled",0705
Carrots,0706
"Cucumbers, fresh or chilled",0707
Peas,0708
Allspice - fresh,0709
